Citations,Auteur,Source,Thèmes,Nombre d'avis,Notes
“L’espoir fait vivre.”,Proverbe français,,Espoir,,
"“Même sans espoir, la lutte est encore un espoir.”",Romain Rolland,L’Ame enchantée,Espoir,,
“Espoir de gain diminue la peine.”,Proverbe français,,Espoir,9,3
“Qui vit d’espoir meurt de désir.”,Proverbe italien,,Espoir,48,4
“L’espoir a les yeux brillants.”,Michel Bouthot,Chemins parsemés d'immortelles pensées,Espoir,18,4
“Globalisons les luttes pour globaliser l’espoir !”,José Bové,21 Juillet 2003,Espoir,,
"“Si l’espoir fait vivre, ceux qui vivent d’espoir meurent de faim.”",Arsenic ,,Espoir,26,4
“L'espoir c'est dangereux. L'espoir peut rendre un homme fou.”,Frank Darabont,Les Evadés,Espoir,,
“L'espoir est le pilier du monde.”,Proverbe africain ,,Espoir,11,3
“L'espoir est une mémoire qui désire.”,Honoré de Balzac,,Espoir,,
"“Vivre sans espoir, c’est cesser de vivre.”",Fiodor Dostoïevski,,Espoir,,
"“L'espoir est contagieux, comme le rire”",Joan Baez,,Espoir,,
“La poésie est une religion sans espoir.”,Anonyme,,Espoir,23,3
“L'espoir est le dernier à mourir.”,Proverbe brésilien,,Espoir,,
“Tel qui vit d’espoir meurt à jeun.”,Benjamin Franklin,L’almanach du pauvre Richard,Espoir,,
“L'espoir est l'envers de la mort.”,Jean-Paul Filion,Les murs de Montréal,Espoir,,
“La douleur persiste pour qui n’a pas d’espoir.”,Hazrat Ali,,Espoir,,
“L'espoir réside dans la faculté de se tromper.”,Lewis Thomas,La méduse et l'escargot,Espoir,,
“Celui-là seul connaît l’amour qui aime sans espoir.”,Johann Friedrich von Schiller,,Espoir,,
“La vraie douleur est incompatible avec l'espoir.”,Lautréamont,Les chants de Maldoror,Espoir,,
“L'espoir est une vertu d'esclaves.”,Emil Michel Cioran,Précis de décomposition,Espoir,,
"“Sans vérité, comment peut-il y avoir de l’espoir... ?”",Michel Quint,Effroyables jardins,Espoir,,
“Le sourire de l’Homme est un espoir déçu.”,Xavier Forneret,Sans Titre,Espoir,,
“Réserver son jugement implique un espoir infini.”,Francis Scott Fitzgerald,Gatsby le magnifique,Espoir,,
“Espoir. Désir et expectation roulés en un seul lot.”,Ambrose Bierce,Le dictionnaire du Diable,Espoir,,
“L'espoir est né de la crainte du lendemain.”,Georges Braque,Le jour et la nuit,Espoir,,
“L'espoir est une bouée bien fragile.”,Alice Brunel-Roche,La Haine entre les dents,Espoir,,
“Mieux vaut combattre sans espoir que de vivre sans désirs.”,D. de Lamalle,Pensées pour notre temps,Espoir,7,3
“L'espoir est le privilège des perdants...”,Jean Van Hamme,Thorgal - La marque des bannis,Espoir,,
"“Espoir, Déception : deux ennemis qui s’entendent très bien ensemble.”",Eugène Vivier,Suite à quelques paragraphes,Espoir,,
“Pipe du soir rend le patron plein d’espoir !”,Paul Avignon,Les Mensonges des hommes,Espoir,,
“La peur ne peut se passer de l’espoir et l’espoir de la peur.”,Baruch Spinoza,,Espoir,,
“La volonté ne peut rien sans l'espoir. L'amour sans l'espoir devient une chose morte.”,Alain Grandbois,Délivrance du jour,Espoir,,
"“Il ne faut jamais dire que l'espoir est mort. Ça ne meurt pas, l'espoir.”",Gabrielle Roy,La route d'Altamont,Espoir,,
"“Ne pas confondre espoir et illusion, car si l'espoir fait vivre, les désillusions peuvent faire le désespoir.”",Angélique Planchette,,Espoir,,
"“La lecture, c’est sans fin. C’est comme l’amour, c’est comme l’espoir, c’est sans espoir.”",Christian Bobin,Une petite robe de fête,Espoir,,
"“On s’insulte avec l’espoir que quelqu’un viendra vous en dissuader, on se bat avec l’espoir que quelqu’un viendra vous séparer.”",Proverbe chinois,,Espoir,,
“C'est seulement à cause de ceux qui sont sans espoir que l'espoir nous est donné.”,Walter Benjamin,Correspondance,Espoir,,
"“Rien de plus têtu, rien de plus tenace que l'espoir, surtout s'il est infondé., l'espoir est un chiendent.”",Lydie Salvayre,Pas pleurer,Espoir,,
“On ne doit mettre son espoir qu'en soi-même.”,Virgile,,Espoir,,
"“L'espoir des hommes, c'est leur raison de vivre et de mourir.”",André Malraux,,Espoir,,
“Qui n'a plus d'espoir n'aura plus de regrets.”,William Shakespeare ,,Espoir,39,4
“Le doute est un hommage rendu à l'espoir.”,Lautréamont,Les Chants de Maldoror,Espoir,,
“L'espoir n'est pas une formule mais une pratique.”,Nicole Notat,,Espoir,,
“L'espoir c'est ce qui meurt en dernier.”,Proverbe irlandais,,Espoir,,
“Qu’est-ce que l’espoir ? Une catin qui nous séduit pour se faire tout donner.”,Sandor Petöfi,L’Espoir,Espoir,,
"“Au royaume de l’espoir, il n’y a pas d’hiver.”",Proverbe russe,,Espoir,,
“La fin de l’espoir est le commencement de la mort.”,Charles de Gaulle ,,Espoir,42,4
"“Où il y a de la vie, il y a de l'espoir.”",Miguel de Cervantès,,Espoir,,
"“La rigueur, c'est l'austérité plus l'espoir.”",Pierre Mauroy,,Espoir,,
"“L'enfer, c'est d'avoir perdu l'espoir.”",Archibald Joseph Cronin,Les clefs du royaume,Espoir,3,4
“Le manque d'humour est l'impolitesse de l'espoir.”,Anonyme,,Espoir,,
"“L'angoisse, au fond, n'est qu'un dérivé de l'espoir.”",Hubert Aquin,L'invention de la mort,Espoir,,
"“Si on perd l'espoir, on est sans défense devant la vie.”",Paul Boudreau,Le dernier choix,Espoir,,
"“Avec un mensonge on va loin, mais sans espoir de retour.”",Proverbe juif,,Espoir,,
“Le mariage c’est la mort de l’espoir.”,Woody Allen,,Espoir,,
“N'entretiens pas l'espoir de ce qui ne peut être espéré.”,Pythagore,,Espoir,,
“Mieux vaut voyager plein d’espoir que d’arriver au but.”,Proverbe japonais ,,"Espoir, Voyage",7,4
"“L'espoir est un bon déjeuner, mais un mauvais dîner.”",Francis Bacon,Apophtegmes,Espoir,,
“L'espoir est un cochon qui mange le pain de l'âme.”,Denis Vanier,,Espoir,,
"“Tant qu’il y a de la vie, il y a de l’espoir.”",Théocrite,Idylles,Espoir,,
"“Si l'idée n'est pas à priori absurde, elle est sans espoir.”",Albert Einstein,,"Espoir, Absurde",,
"“Le vieux pour ne pouvoir et le jeune pour ne savoir, la fille demeure sans espoir.”",César Oudin,,Espoir,,
“Il ne faut jamais abandonner ses rêves : l'espoir est le commencement de toute chose.”,Anonyme,,Espoir,,
“La vertu fascine mais il y a toujours en nous l’espoir de la corrompre.”,L. Langanesi,,Espoir,,
"“Quelle responsabilité que d'écrire ! Donner de l'espoir sans motif, décourager sans raison.”",Jacques Chardonne,,Espoir,,
“L’espoir signifie avoir des expectatives quand la situation est autrement désespérée.”,Gilbert Keith Chesterton,,Espoir,,
"“Le désir parfois ne rend pas clairvoyant, parce qu'il y a l'espoir...”",Suzanne Robert,Vulpéra,Espoir,,
“L'espoir est un sentiment qui ne meurt qu'avec l'homme.”,Reine Malouin,Vertige,Espoir,,
"“A force de traîner un espoir, on finit par l'user.”",Madeleine Leblanc,La muraille de brume,Espoir,,
"“Quand il n’y a plus de chance, il y a encore l’espoir.”",Jean-Michel Ribes,Batailles,Espoir,,
“On est peu de chose devant une vaine lueur d'espoir.”,Alexandre Millon,La ligne Blanche,Espoir,,
“L’espoir est un scepticisme. C’est douter du malheur un instant.”,Paul Valéry,,Espoir,,
“Qu’importe une génération sacrifiée s’il reste l’espoir des suivantes !”,Isabelle Sorente,L,Espoir,,
“Il n'y a plus d'espoir mais beaucoup de futur.”,Marc Gendron,Opération New York,Espoir,,
"“Aimer lire est une passion, un espoir de vivre davantage, autrement, mais davantage que prévu.”",Georges Perros,,"Espoir, Passion",,
